maturity,m,d,n_terminal,n_lower,n_upper,train_seed,tune_seed,mae,max_abs_error,mre_itm,mean_posterior_std,max_posterior_std,optimization_time_sec,final_fit_time_sec,pricing_time_sec,posterior_std_time_sec,benchmark_time_sec,total_time_sec,tuning_success,tuning_message,tuning_nit,tuning_nfev,tuning_objective_value
0.5,200,200,68,66,66,20260512,20260513,0.6893481983511424,1.6484489245354366,0.023878762704730567,0.002166410117973307,0.003065836994694076,0.2609478330123238,0.002857708022929728,0.00019208301091566682,0.0008730000117793679,9.195797611027956e-05,0.26496258203405887,True,Optimization terminated successfully.,32,63,0.9615069233602278
0.5,400,400,134,133,133,20260512,20260513,0.05655718652823192,0.13230165585505205,0.0033442309012700656,0.001993252048959277,0.0035207120442232102,2.075972874998115,0.01214812498074025,0.00033145799534395337,0.0035346659715287387,9.708298603072762e-05,2.0920842069317587,True,Optimization terminated successfully.,60,121,0.012937110042909584
0.5,600,600,200,200,200,20260512,20260513,0.02770561906219122,0.06227855056150844,0.0014541969899258848,0.001938950283916124,0.004934626405869558,4.8223383339936845,0.02864716702606529,0.0004925410030409694,0.00843195797642693,0.00012929202057421207,4.860039292019792,True,Optimization terminated successfully.,62,120,0.008038581704480172
0.5,800,800,268,266,266,20260512,20260513,0.018615807822913343,0.04579946552142644,0.0009056522841481305,0.0013986122645257954,0.0025193141064018135,9.183945958968252,0.06456733401864767,0.0005918749957345426,0.01834183296887204,9.408296318724751e-05,9.267541083914693,True,Optimization terminated successfully.,57,108,0.010377588960700799
1.0,200,200,68,66,66,20260612,20260613,0.027534228738917314,0.060489392260929975,0.0008890635117170676,0.00290306173462028,0.004624504151136423,0.48265145800542086,0.0027424589497968554,0.00019033398712053895,0.000875582976732403,7.654103683307767e-05,0.48653637495590374,True,Optimization terminated successfully.,63,116,0.09622530578812577
1.0,400,400,134,133,133,20260612,20260613,0.06633124561792783,0.08682413930898036,0.0022874011510097005,0.0023020612245300957,0.0048065326193470715,1.2007798749837093,0.012091209006030113,0.00032779196044430137,0.00327391701284796,8.837500354275107e-05,1.2165611679665744,True,Optimization terminated successfully.,34,70,0.07925132508448274
1.0,600,600,200,200,200,20260612,20260613,0.02342358999391903,0.03868696062335886,0.0008842472046622535,0.001461127446885514,0.002005442348222435,5.146090417052619,0.02876949997153133,0.0005127500044181943,0.008371874981094152,0.00010470801498740911,5.18384925002465,True,Optimization terminated successfully.,68,129,0.037382026893072934
1.0,800,800,268,266,266,20260612,20260613,0.013572555502672832,0.019091356270521942,0.0005945423012640207,0.0012581482071315575,0.0018395181496873264,11.627514916996006,0.06441600003745407,0.0006448339554481208,0.01829366700258106,9.70409600995481e-05,11.710966458951589,True,Optimization terminated successfully.,70,137,0.03015803553122457
1.5,200,200,68,66,66,20260712,20260713,0.0172199150003384,0.07710763959155997,0.0001305093511715648,0.004188983748224043,0.015776180329032437,0.4040502499556169,0.0027340830420143902,0.00020179199054837227,0.0008855420164763927,7.004197686910629e-05,0.40794170898152515,True,Optimization terminated successfully.,52,97,0.07936546936007914
1.5,400,400,134,133,133,20260712,20260713,0.03587001281745417,0.055768781921617716,0.00125183920666255,0.008524387552782474,0.09321976748907972,1.3048593749990687,0.012228709005285054,0.0003297080402262509,0.0031477499869652092,9.537499863654375e-05,1.3206609170301817,True,Optimization terminated successfully.,38,76,0.02464610609652211
1.5,600,600,200,200,200,20260712,20260713,0.009907125426847298,0.02287658759897937,0.0002406826318393652,0.003276993656315376,0.008492862113374028,6.364918165956624,0.028738415974657983,0.00046966702211648226,0.007607457984704524,9.983300697058439e-05,6.401833539945073,True,Optimization terminated successfully.,81,160,0.018282965513142607
1.5,800,800,268,266,266,20260712,20260713,0.009221508001275941,0.014762996328904876,0.000388860219269993,0.0014490316896503014,0.002538415858619181,5.952703833987471,0.06383754196576774,0.0005967500037513673,0.018230417044833302,0.00010775000555440784,6.0354762930073775,True,Optimization terminated successfully.,34,70,0.06914648813773831
2.0,200,200,68,66,66,20260812,20260813,0.14415083291659267,0.28791897881272543,0.003493279104038726,0.0027461398786803493,0.003517729484150223,0.31309291697107255,0.0027726669795811176,0.00019179197261109948,0.0008704590145498514,8.020800305530429e-05,0.3170080429408699,True,Optimization terminated successfully.,38,75,0.8623575154510155
2.0,400,400,134,133,133,20260812,20260813,0.14209675549155143,0.2005550127991711,0.004637074437054666,0.0025573415135721027,0.00486062908075168,2.1425547910039313,0.012028708006255329,0.0003340409602969885,0.003097500011790544,9.416602551937103e-05,2.1581092060077935,True,Optimization terminated successfully.,69,125,0.054422647745592884
2.0,600,600,200,200,200,20260812,20260813,0.08497120950330915,0.13067144713355106,0.002929584240229254,0.0021058738833319634,0.003302604222112202,4.494843209045939,0.0284695410518907,0.00045529199996963143,0.007467666000593454,0.00010595802450552583,4.5313416661228985,True,Optimization terminated successfully.,58,113,0.050887170222644204
2.0,800,800,268,266,266,20260812,20260813,0.04192547693907205,0.058937077505509805,0.0009932330830254143,0.0019721922165482292,0.005174792195636345,6.342247291002423,0.0632982500246726,0.0005869169835932553,0.01795029197819531,9.708397556096315e-05,6.424179833964445,True,Optimization terminated successfully.,39,75,0.02056536409319122
2.5,200,200,68,66,66,20260912,20260913,0.06566094711646872,0.15238033864291278,0.001334548183185224,0.007335950682264682,0.024331311733354406,0.3279299159767106,0.0028226670110598207,0.0002002500114031136,0.0008894170168787241,7.475004531443119e-05,0.3319170000613667,True,Optimization terminated successfully.,40,79,0.08215941790214146
2.5,400,400,134,133,133,20260912,20260913,0.02558350122386497,0.06976334295752817,0.0006306454313763897,0.0030687971295780734,0.006146037204775149,1.608059000049252,0.011987874982878566,0.00032533297780901194,0.0031020419555716217,8.404097752645612e-05,1.6235582909430377,True,Optimization terminated successfully.,49,94,0.04594501182150255
2.5,600,600,200,200,200,20260912,20260913,0.01568517036069053,0.03495034457071711,0.0004188940515273481,0.0026343840997938833,0.006187458626540365,4.042278166976757,0.028164582967292517,0.000448125007096678,0.007376583991572261,8.612498641014099e-05,4.078353583929129,True,Optimization terminated successfully.,52,102,0.04638496651498866
2.5,800,800,268,266,266,20260912,20260913,0.017174674548739298,0.043939036023999734,0.0003643865798115691,0.0023291019330352906,0.006589379403078863,6.319827999977861,0.06357462500454858,0.0006272089667618275,0.018349707999732345,0.00010416604345664382,6.40248370799236,True,Optimization terminated successfully.,39,75,0.027866124986980167
3.0,200,200,68,66,66,20261012,20261013,0.07372283298876085,0.22317726011389638,0.0010559789197111306,0.0036290373038783685,0.006339345115425296,0.2553619170212187,0.0028174169710837305,0.00019583397079259157,0.0008874170016497374,6.9500005338341e-05,0.2593320849700831,True,Optimization terminated successfully.,31,61,1.7549357419841782
3.0,400,400,134,133,133,20261012,20261013,0.05196719662836623,0.09134698151083853,0.0008579045073066651,0.004480914240710074,0.010400830604319915,2.0716396250063553,0.012167917040642351,0.00032175000524148345,0.0031441249884665012,8.645799243822694e-05,2.087359875033144,True,Optimization terminated successfully.,64,121,0.07866964510506408
3.0,600,600,200,200,200,20261012,20261013,0.050744802874014894,0.08904081529524888,0.001011676329854411,0.00296046330284983,0.006745609539254253,4.153812999953516,0.02870074997190386,0.00045183300971984863,0.00760966696543619,0.00010262499563395977,4.19067787489621,True,Optimization terminated successfully.,55,104,0.06626176134089229
3.0,800,800,268,266,266,20261012,20261013,0.02262595506992816,0.09125679233275719,0.0006276354248088873,0.003479361387111659,0.005440875740228774,7.727121417003218,0.0638784589827992,0.0005819170037284493,0.019692250003572553,9.39579913392663e-05,7.8113680009846576,True,Optimization terminated successfully.,51,91,0.1141142431005818
