n_paths,maturity,mc_seed,mae,max_abs_error,mre_itm,mean_mc_standard_error,max_mc_standard_error,mc_time_sec,series_benchmark_time_sec
500000,0.5,20300701,0.030822036116383345,0.16166874858883773,0.001009587912878732,0.03330955077288708,0.06457270896955146,1.0960482920054346,0.026692250045016408
1000000,0.5,20300801,0.018953194754556965,0.07492089083613962,0.0005258661043467011,0.02355069714986914,0.04573837434774737,2.1386865829117596,0.026692250045016408
2000000,0.5,20300901,0.0126995535811596,0.06358811641170803,0.00041733271461566023,0.01665274722616749,0.03238772998348209,4.204642458003946,0.026692250045016408
500000,1.0,20300702,0.03272348930774981,0.15002179272791238,0.0008133010011643102,0.04867905229009259,0.09206701462273312,1.2129312920151278,0.032470749923959374
1000000,1.0,20300802,0.025985153475496067,0.13797215355666026,0.0007542758847656554,0.03443218233608359,0.06513244204399352,2.4409627090208232,0.032470749923959374
2000000,1.0,20300902,0.019516737038263773,0.12621776746574653,0.0004720654650564161,0.024342568177425767,0.04605396054825367,4.913560915971175,0.032470749923959374
500000,1.5,20300703,0.04872867652783688,0.19748593842999185,0.001221282219382409,0.06144293734334461,0.11366938613930022,1.321730374940671,0.03701258299406618
1000000,1.5,20300803,0.03425712100257548,0.10804987557030188,0.0008428186786584023,0.043449450482881395,0.08035701497489722,2.667575667030178,0.03701258299406618
2000000,1.5,20300903,0.031785467439094876,0.16693482669276705,0.0007065479282477874,0.030730783148217825,0.056920685313649855,5.348744124989025,0.03701258299406618
500000,2.0,20300704,0.05967758840628576,0.22094324817783217,0.001330835779795623,0.07294527735780577,0.1325822298770173,1.4263520840322599,0.04113191703800112
1000000,2.0,20300804,0.04011061896510049,0.1520820413402646,0.0008495977518290337,0.05158952159947618,0.09364589880161757,2.86329258303158,0.04113191703800112
2000000,2.0,20300904,0.030675294280213847,0.17771444577560658,0.0006038846948683266,0.03647864484906395,0.06630858460108993,5.768757541081868,0.04113191703800112
500000,2.5,20300705,0.06724883031825399,0.21064586077766023,0.0013846865871447941,0.08375582765847438,0.14984398093382964,1.5420119169866666,0.04580516694113612
1000000,2.5,20300805,0.044856270347083685,0.1792616881494098,0.0009118108559493591,0.05923627823372406,0.10623821409695192,3.0635916250757873,0.04580516694113612
2000000,2.5,20300905,0.03008287473348762,0.13205426496426753,0.0005822667152534946,0.041851458936084475,0.07496960497099996,6.167804957949556,0.04580516694113612
500000,3.0,20300706,0.08139090868566416,0.3447870994855293,0.0015754561434640462,0.09394972902679315,0.16679235005354767,1.6074922500411049,0.05090449994895607
1000000,3.0,20300806,0.05202836053247562,0.29426048481305145,0.0010678598159045663,0.06647952397866475,0.11750639787089451,3.2333852080628276,0.05090449994895607
2000000,3.0,20300906,0.03572741125927025,0.13474279533603806,0.0006742302307607472,0.047013872497092074,0.08313408143293273,6.493884207913652,0.05090449994895607
