m,n_int,n_bd,maturity,n_terminal,n_lower,n_upper,train_seed,tune_seed,mae,max_abs_error,mre_itm,mean_posterior_std,max_posterior_std,optimization_time_sec,final_fit_time_sec,pricing_time_sec,posterior_std_time_sec,total_gpr_time_sec,series_benchmark_time_sec,tuning_success,tuning_message,tuning_nit,tuning_nfev,tuning_objective_value
400,400,400,0.5,134,133,133,20260606,20260607,0.028841167263019985,0.06094835107278129,0.0008244070025017163,0.004127027978415654,0.00954422264799438,2.7512942909961566,0.01876883301883936,0.0006877079140394926,0.0040727079613134265,2.774823539890349,0.0261226249858737,True,Optimization terminated successfully.,45,89,0.03180604239831565
600,600,600,0.5,200,200,200,20260606,20260607,0.017810450862221612,0.05193628029697628,0.0006395660911588022,0.0026964391270365255,0.003496171496802511,4.590603499906138,0.04422162496484816,0.0009955000132322311,0.009645584039390087,4.645466208923608,0.0261226249858737,True,Optimization terminated successfully.,33,65,0.01972319451168413
800,800,800,0.5,268,266,266,20260606,20260607,0.023501217252407818,0.04480972289324292,0.000818996647232444,0.0020267206326636837,0.0024683719887762996,9.344834084040485,0.09094233298674226,0.0014671250246465206,0.02284950006287545,9.46009304211475,0.0261226249858737,True,Optimization terminated successfully.,33,66,0.01655932010386089
400,400,400,1.0,134,133,133,20260706,20260707,0.06292898967615672,0.11309005549765061,0.002003885931089435,0.0031016099790085287,0.0044881478964665196,1.7339725830825046,0.019361624959856272,0.00069416593760252,0.003966666059568524,1.7579950400395319,0.03325316694099456,True,Optimization terminated successfully.,29,57,0.048204431500102535
600,600,600,1.0,200,200,200,20260706,20260707,0.026207754436503472,0.05283784365065003,0.0005170585600825653,0.0023772724561295765,0.0035475329661145967,4.534496416919865,0.04357745801098645,0.0009780830005183816,0.008710167021490633,4.58776212495286,0.03325316694099456,True,Optimization terminated successfully.,33,64,0.038399037019656475
800,800,800,1.0,268,266,266,20260706,20260707,0.05784940150325015,0.08654870377608859,0.001472462958159895,0.0020399460647639762,0.0028438772815732867,10.841308832983486,0.0958152919774875,0.0014085000148043036,0.02073054201900959,10.959263166994788,0.03325316694099456,True,Optimization terminated successfully.,39,77,0.017607081922666128
400,400,400,1.5,134,133,133,20260806,20260807,0.10293032877987063,0.17160976093629543,0.0024375110076251894,0.0033210309784704813,0.004951205840340962,2.3566970420069993,0.018704583984799683,0.0006890419172123075,0.00361483299639076,2.379705500905402,0.03767908306326717,True,Optimization terminated successfully.,40,78,0.06281408423995365
600,600,600,1.5,200,200,200,20260806,20260807,0.02434589838615293,0.0607975902376694,0.00039448986749708435,0.0039572876726058845,0.01006769605006964,4.99748695793096,0.04397020791657269,0.0010458329925313592,0.00905179197434336,5.051554790814407,0.03767908306326717,True,Optimization terminated successfully.,38,72,0.019961085187791234
800,800,800,1.5,268,266,266,20260806,20260807,0.04374779909211821,0.07285979884677829,0.0010617084803775524,0.003144073668804628,0.006842561788284024,12.746796749997884,0.09125737496651709,0.0014228340005502105,0.020013167057186365,12.859490126022138,0.03767908306326717,True,Optimization terminated successfully.,47,91,0.01885688838557853
400,400,400,2.0,134,133,133,20260906,20260907,0.05484479623131949,0.11205749598683212,0.0006962773835500985,0.007989966381702058,0.02148378011720029,2.266787250060588,0.018748332979157567,0.0006807909812778234,0.0036207089433446527,2.289837082964368,0.04199579206760973,True,Optimization terminated successfully.,39,75,0.03948018610502528
600,600,600,2.0,200,200,200,20260906,20260907,0.052327786538245026,0.09565429002405335,0.0007147698145374792,0.0035001048708689694,0.005464544241280974,5.45393099996727,0.04313637502491474,0.0010486249811947346,0.008512999978847802,5.506628999952227,0.04199579206760973,True,Optimization terminated successfully.,42,79,0.03893729346345905
800,800,800,2.0,268,266,266,20260906,20260907,0.05768703194125883,0.08862712573942133,0.0009868682402665537,0.0026708215849257353,0.0036159755553977335,11.946436458965763,0.09759037499316037,0.0014872080646455288,0.022899875068105757,12.068413917091675,0.04199579206760973,True,Optimization terminated successfully.,43,84,0.03843296477235079
400,400,400,2.5,134,133,133,20261006,20261007,0.5669915448689867,0.73843574272016,0.009725368440600377,0.003747969272775384,0.004400256184241354,1.9506205409998074,0.018530917004682124,0.0006871670484542847,0.0035621669376268983,1.9734007919905707,0.04628254193812609,True,Optimization terminated successfully.,32,64,0.39562536177528695
600,600,600,2.5,200,200,200,20261006,20261007,0.08970522370574507,0.12935129115889765,0.0016750235238514025,0.003464284498355011,0.005702076279343449,4.981188541976735,0.043643000070005655,0.001077916007488966,0.008320958935655653,5.034230416989885,0.04628254193812609,True,Optimization terminated successfully.,40,72,0.06506354068586806
800,800,800,2.5,268,266,266,20261006,20261007,0.02805798262960299,0.09290014884719255,0.0004435504125026369,0.004254742814833784,0.011272263584347533,9.70316720905248,0.09331570798531175,0.0012840409763157368,0.019946458050981164,9.81771341606509,0.04628254193812609,True,Optimization terminated successfully.,35,69,0.03264991920680558
400,400,400,3.0,134,133,133,20261106,20261107,0.11220821651449728,0.20399197078123343,0.0014182296036482878,0.007216355880210063,0.010525258991109699,1.8251019169110805,0.018697333056479692,0.0006941249594092369,0.0036112499656155705,1.848104624892585,0.051382083096541464,True,Optimization terminated successfully.,31,60,0.1100963761566443
600,600,600,3.0,200,200,200,20261106,20261107,0.10969679249564109,0.17265996521386384,0.0016725497037461013,0.004277767049145127,0.005849708024570087,5.005547582986765,0.04359179106540978,0.0009777910308912396,0.00856204202864319,5.058679207111709,0.051382083096541464,True,Optimization terminated successfully.,37,72,0.06148018428371324
800,800,800,3.0,268,266,266,20261106,20261107,0.043132928436481664,0.16576615502322056,0.0007668701890508615,0.004043614765840658,0.008302126270111277,14.63427820801735,0.09033337503205985,0.0014464170671999454,0.019749000086449087,14.745807000203058,0.051382083096541464,True,Optimization terminated successfully.,56,106,0.02891239300899772
